x,y,z,Ex,Ey,Ez
-0.00025,0.0001875,0.0001875,-6.692731051783445,1.9968722729050157,7.471198458612095
-0.00025,0.0001875,0.00021874999999999998,-6.691218071158429,1.9960397974420934,7.312010259594852
-0.00025,0.0001875,0.00025,-6.689621217789773,1.9951908817110762,7.153556190516573
-0.00025,0.00021874999999999998,-0.00025,-6.704225823303153,1.7457199303010924,9.783094299244087
-0.00025,0.00021874999999999998,-0.00021875,-6.703877976199884,1.7449368328892012,9.612326006426706
-0.00025,0.00021874999999999998,-0.0001875,-6.703447669637225,1.744145369958107,9.442464516433116
-0.00025,0.00021874999999999998,-0.00015625,-6.702934762944433,1.743345437411318,9.273497343210433
-0.00025,0.00021874999999999998,-0.000125,-6.70233912169878,1.7425369337002394,9.105412021896566
-0.00025,0.00021874999999999998,-9.375e-05,-6.701660617724945,1.7417197598223857,8.938196109216811
-0.00025,0.00021874999999999998,-6.25e-05,-6.700899129094058,1.7408938193194863,8.771837183875881
-0.00025,0.00021874999999999998,-3.125e-05,-6.700054540122118,1.740059018275431,8.60632284694541
-0.00025,0.00021874999999999998,0.0,-6.699126741368303,1.739215265314101,8.441640722246989
-0.00025,0.00021874999999999998,3.125000000000003e-05,-6.69811562963254,1.7383624715970498,8.277778456730902
-0.00025,0.00021874999999999998,6.25e-05,-6.697021107953011,1.7375005508210708,8.114723720850368
-0.00025,0.00021874999999999998,9.374999999999997e-05,-6.695843085602914,1.7366294192156084,7.952464208931722
-0.00025,0.00021874999999999998,0.000125,-6.694581478087144,1.7357489955400585,7.790987639540262
-0.00025,0.00021874999999999998,0.00015625000000000003,-6.693236207138264,1.7348592010809194,7.630281755842007
-0.00025,0.00021874999999999998,0.0001875,-6.691807200712338,1.7339599596488307,7.470334325961384
-0.00025,0.00021874999999999998,0.00021874999999999998,-6.690294392984175,1.733051197575456,7.311133143334917
-0.00025,0.00021874999999999998,0.00025,-6.688697724342205,1.7321328437102648,7.1526660270609534
-0.00025,0.00025,-0.00025,-6.7032294102804695,1.4848651038886747,9.78222688305189
-0.00025,0.00025,-0.00021875,-6.702881580678332,1.4839086009653064,9.611453790406173
-0.00025,0.00025,-0.0001875,-6.702451304024874,1.482950751085659,9.441587389009802
-0.00025,0.00025,-0.00015625,-6.701938439666329,1.4819914377409271,9.272615195352623
-0.00025,0.00025,-0.000125,-6.701342853196111,1.481030546958039,9.10452474711336
-0.00025,0.00025,-9.375e-05,-6.700664416454171,1.4800679672974535,8.93730360355609
-0.00025,0.00025,-6.25e-05,-6.699903007526074,1.4791035898507838,8.770939345922118
-0.00025,0.00025,-3.125e-05,-6.699058510741404,1.4781373082384686,8.605419577817372
-0.00025,0.00025,0.0,-6.698130816672041,1.4771690186071176,8.440731925595319
-0.00025,0.00025,3.125000000000003e-05,-6.697119822129825,1.47619861962689,8.27686403873551
-0.00025,0.00025,6.25e-05,-6.6960254301639335,1.475226012488643,8.113803590217808
-0.00025,0.00025,9.374999999999997e-05,-6.694847550057762,1.4742511009010444,7.951538276892331
-0.00025,0.00025,0.000125,-6.693586097325532,1.473273791087462,7.79005581984522
-0.00025,0.00025,0.00015625000000000003,-6.692240993708282,1.4722939917828797,7.629343964760277
-0.00025,0.00025,0.0001875,-6.690812167169713,1.471311614230498,7.469390482276512
-0.00025,0.00025,0.00021874999999999998,-6.689299551891408,1.4703265721783831,7.310183168341707
-0.00025,0.00025,0.00025,-6.687703088267743,1.4693387818759482,7.151709844562024
-0.00021875,-0.00025,-0.00025,-6.474958984801475,5.700158258505724,9.775083369355775
-0.00021875,-0.00025,-0.00021875,-6.47472858156488,5.7019829796749395,9.60531564054763
-0.00021875,-0.00025,-0.0001875,-6.474416171417932,5.7036933804827274,9.436455035390342
-0.00021875,-0.00025,-0.00015625,-6.474021628339738,5.70528954301487,9.26848902204405
-0.00021875,-0.00025,-0.000125,-6.473544832227426,5.706771552114575,9.101405089838718
-0.00021875,-0.00025,-9.375e-05,-6.472985668895825,5.708139495386889,8.935190749674195
-0.00021875,-0.00025,-6.25e-05,-6.472344030076707,5.7093934632029475,8.769833534415767
-0.00021875,-0.00025,-3.125e-05,-6.4716198134176315,5.710533548703641,8.605320999285142
-0.00021875,-0.00025,0.0,-6.470812922480424,5.7115598478033895,8.441640722246989
-0.00021875,-0.00025,3.125000000000003e-05,-6.46992326673925,5.7124724591932186,8.27878030439117
